Using launch settings from src/AeroCore.GroundStation/Properties/launchSettings.json...
Building...
info: AeroCore.GroundStation.GroundStationWorker[0]
      Ground Station Starting...
info: AeroCore.Shared.Services.MockTelemetryProvider[0]
      Mock Telemetry Sensor Initialized.
info: Microsoft.Hosting.Lifetime[0]
      Application started. Press Ctrl+C to shut down.
info: Microsoft.Hosting.Lifetime[0]
      Hosting environment: Development
info: Microsoft.Hosting.Lifetime[0]
      Content root path: /app/src/AeroCore.GroundStation

============================================================
              AEROCORE GROUND STATION v1.0
============================================================
  > System Init:      18:35:53
  > System Status:    Ready
  > Telemetry Link:   Listening (Mock)...
  (Press Ctrl+C to exit)

  [LEGEND]
   ALT: Altitude (ft)   VEL: Velocity (kts)
   PIT: Pitch (deg)     ROL: Roll (deg)

   [◄■■+■|■+■■►] : Attitude Indicator (Active) | [   + | +   ] : Attitude Indicator (Neutral)
   ↑↑ : Fast Rise | ↑  : Slow Rise | →  : Stable | ↓  : Slow Fall | ↓↓ : Fast Fall
   [ OK ] : Stable | [WARN] : Warning | [CRIT] : Critical (Audible Alert)

info: AeroCore.GroundStation.GroundStationWorker[0]
      Ground Station Listening for Telemetry...

[⠋] [GCS] @ 18:35:53.585 | ALT:  10,034.99 ft    | VEL:   255.6 kts    | PIT:   -0.56 deg [   + | +   ] | ROL:   -0.38 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:35:54.098 | ALT:  10,006.87 ft ↓↓ | VEL:   253.7 kts ↓↓ | PIT:   -0.97 deg [   + | +   ] | ROL:   +0.88 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:35:54.600 | ALT:  10,071.58 ft ↑↑ | VEL:   256.7 kts ↑↑ | PIT:   +0.37 deg [   + | +   ] | ROL:   +0.23 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:35:55.101 | ALT:  10,037.53 ft ↓↓ | VEL:   256.0 kts ↓  | PIT:   -0.50 deg [   + | +   ] | ROL:   -0.34 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:35:55.602 | ALT:  10,099.68 ft ↑↑ | VEL:   257.9 kts ↑↑ | PIT:   +0.91 deg [   + | +   ] | ROL:   +0.78 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:35:56.102 | ALT:  10,099.92 ft ↑  | VEL:   251.9 kts ↓↓ | PIT:   +0.49 deg [   + | +   ] | ROL:   +0.14 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:35:56.603 | ALT:  10,040.56 ft ↓↓ | VEL:   254.1 kts ↑↑ | PIT:   +0.95 deg [   + | +   ] | ROL:   +0.89 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:35:57.104 | ALT:  10,033.20 ft ↓↓ | VEL:   259.0 kts ↑↑ | PIT:   -0.61 deg [   + | +   ] | ROL:   -0.06 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:35:57.605 | ALT:  10,089.19 ft ↑↑ | VEL:   250.0 kts ↓↓ | PIT:   -0.30 deg [   + | +   ] | ROL:   -0.90 deg [   + | +   ] | [WARN] (VEL)           
[⠏] [GCS] @ 18:35:58.106 | ALT:  10,095.59 ft ↑↑ | VEL:   257.5 kts ↑↑ | PIT:   +0.73 deg [   + | +   ] | ROL:   -0.09 deg [   + | +   ] | [WARN] (VEL)           
[⠋] [GCS] @ 18:35:58.607 | ALT:  10,072.79 ft ↓↓ | VEL:   255.0 kts ↓↓ | PIT:   -0.81 deg [   + | +   ] | ROL:   -0.60 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:35:59.108 | ALT:  10,009.92 ft ↓↓ | VEL:   253.6 kts ↓↓ | PIT:   +0.87 deg [   + | +   ] | ROL:   -0.56 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:35:59.608 | ALT:  10,076.56 ft ↑↑ | VEL:   251.7 kts ↓↓ | PIT:   -0.83 deg [   + | +   ] | ROL:   -0.09 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:36:00.109 | ALT:  10,073.10 ft ↓↓ | VEL:   253.5 kts ↑↑ | PIT:   +0.36 deg [   + | +   ] | ROL:   +0.19 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:36:00.610 | ALT:  10,067.50 ft ↓↓ | VEL:   251.1 kts ↓↓ | PIT:   -0.89 deg [   + | +   ] | ROL:   -0.16 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:36:01.111 | ALT:  10,064.27 ft ↓↓ | VEL:   256.7 kts ↑↑ | PIT:   +0.98 deg [   + | +   ] | ROL:   +0.82 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:36:01.612 | ALT:  10,028.45 ft ↓↓ | VEL:   258.1 kts ↑↑ | PIT:   -0.45 deg [   + | +   ] | ROL:   +0.90 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:36:02.113 | ALT:  10,098.76 ft ↑↑ | VEL:   250.1 kts ↓↓ | PIT:   +0.99 deg [   + | +   ] | ROL:   -0.55 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:36:02.614 | ALT:  10,001.62 ft ↓↓ | VEL:   251.8 kts ↑↑ | PIT:   +0.86 deg [   + | +   ] | ROL:   -0.64 deg [   + | +   ] | [WARN] (VEL)           
[⠏] [GCS] @ 18:36:03.115 | ALT:  10,021.00 ft ↑↑ | VEL:   259.7 kts ↑↑ | PIT:   +0.51 deg [   + | +   ] | ROL:   -0.27 deg [   + | +   ] | [WARN] (VEL)           
[⠋] [GCS] @ 18:36:03.616 | ALT:  10,077.68 ft ↑↑ | VEL:   255.2 kts ↓↓ | PIT:   +0.63 deg [   + | +   ] | ROL:   +0.80 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:36:04.117 | ALT:  10,027.64 ft ↓↓ | VEL:   257.2 kts ↑↑ | PIT:   -0.12 deg [   + | +   ] | ROL:   +0.42 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:36:04.618 | ALT:  10,080.12 ft ↑↑ | VEL:   257.6 kts ↑  | PIT:   -0.99 deg [   + | +   ] | ROL:   +0.02 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:36:05.118 | ALT:  10,002.04 ft ↓↓ | VEL:   250.2 kts ↓↓ | PIT:   +0.02 deg [   + | +   ] | ROL:   +0.21 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:36:05.619 | ALT:  10,035.31 ft ↑↑ | VEL:   257.8 kts ↑↑ | PIT:   -0.59 deg [   + | +   ] | ROL:   +0.92 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:36:06.120 | ALT:  10,069.37 ft ↑↑ | VEL:   251.2 kts ↓↓ | PIT:   -0.88 deg [   + | +   ] | ROL:   -0.57 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:36:06.621 | ALT:  10,017.34 ft ↓↓ | VEL:   257.1 kts ↑↑ | PIT:   -0.73 deg [   + | +   ] | ROL:   -0.21 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:36:07.121 | ALT:  10,010.43 ft ↓↓ | VEL:   251.2 kts ↓↓ | PIT:   -0.73 deg [   + | +   ] | ROL:   +0.17 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:36:07.622 | ALT:  10,082.04 ft ↑↑ | VEL:   252.4 kts ↑↑ | PIT:   -0.90 deg [   + | +   ] | ROL:   +0.58 deg [   + | +   ] | [WARN] (VEL)           
[⠏] [GCS] @ 18:36:08.123 | ALT:  10,054.52 ft ↓↓ | VEL:   258.0 kts ↑↑ | PIT:   -0.16 deg [   + | +   ] | ROL:   +0.39 deg [   + | +   ] | [WARN] (VEL)           
[⠋] [GCS] @ 18:36:08.624 | ALT:  10,067.52 ft ↑↑ | VEL:   252.9 kts ↓↓ | PIT:   +0.41 deg [   + | +   ] | ROL:   +0.50 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:36:09.125 | ALT:  10,016.81 ft ↓↓ | VEL:   256.2 kts ↑↑ | PIT:   -0.97 deg [   + | +   ] | ROL:   +0.15 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:36:09.626 | ALT:  10,012.39 ft ↓↓ | VEL:   251.3 kts ↓↓ | PIT:   -0.62 deg [   + | +   ] | ROL:   +0.75 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:36:10.127 | ALT:  10,022.54 ft ↑↑ | VEL:   255.7 kts ↑↑ | PIT:   +0.58 deg [   + | +   ] | ROL:   -0.46 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:36:10.627 | ALT:  10,081.22 ft ↑↑ | VEL:   256.5 kts ↑  | PIT:   -0.48 deg [   + | +   ] | ROL:   +0.85 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:36:11.128 | ALT:  10,045.49 ft ↓↓ | VEL:   251.9 kts ↓↓ | PIT:   +0.21 deg [   + | +   ] | ROL:   -0.24 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:36:11.629 | ALT:  10,016.53 ft ↓↓ | VEL:   250.3 kts ↓↓ | PIT:   +0.71 deg [   + | +   ] | ROL:   -0.95 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:36:12.130 | ALT:  10,099.21 ft ↑↑ | VEL:   254.5 kts ↑↑ | PIT:   +0.63 deg [   + | +   ] | ROL:   -0.31 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:36:12.630 | ALT:  10,054.23 ft ↓↓ | VEL:   253.4 kts ↓↓ | PIT:   -0.52 deg [   + | +   ] | ROL:   -0.13 deg [   + | +   ] | [WARN] (VEL)           
[⠏] [GCS] @ 18:36:13.135 | ALT:  10,072.97 ft ↑↑ | VEL:   258.1 kts ↑↑ | PIT:   +0.46 deg [   + | +   ] | ROL:   +0.42 deg [   + | +   ] | [WARN] (VEL)           
[⠋] [GCS] @ 18:36:13.636 | ALT:  10,037.43 ft ↓↓ | VEL:   259.4 kts ↑↑ | PIT:   +0.99 deg [   + | +   ] | ROL:   -0.69 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:36:14.137 | ALT:  10,031.59 ft ↓↓ | VEL:   251.0 kts ↓↓ | PIT:   -0.29 deg [   + | +   ] | ROL:   -0.93 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:36:14.638 | ALT:  10,037.44 ft ↑↑ | VEL:   253.4 kts ↑↑ | PIT:   +0.51 deg [   + | +   ] | ROL:   -0.70 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:36:15.138 | ALT:  10,033.42 ft ↓↓ | VEL:   254.1 kts ↑  | PIT:   +0.26 deg [   + | +   ] | ROL:   +0.39 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:36:15.639 | ALT:  10,086.60 ft ↑↑ | VEL:   252.4 kts ↓↓ | PIT:   +0.61 deg [   + | +   ] | ROL:   +0.23 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:36:16.140 | ALT:  10,056.17 ft ↓↓ | VEL:   259.8 kts ↑↑ | PIT:   +1.00 deg [   + | +   ] | ROL:   +0.32 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:36:16.641 | ALT:  10,082.09 ft ↑↑ | VEL:   259.2 kts ↓  | PIT:   -0.24 deg [   + | +   ] | ROL:   -0.87 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:36:17.141 | ALT:  10,001.91 ft ↓↓ | VEL:   256.0 kts ↓↓ | PIT:   +0.52 deg [   + | +   ] | ROL:   +0.45 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:36:17.642 | ALT:  10,074.77 ft ↑↑ | VEL:   252.6 kts ↓↓ | PIT:   +0.09 deg [   + | +   ] | ROL:   +0.29 deg [   + | +   ] | [WARN] (VEL)           
[⠏] [GCS] @ 18:36:18.143 | ALT:  10,092.53 ft ↑↑ | VEL:   253.2 kts ↑  | PIT:   +0.87 deg [   + | +   ] | ROL:   +0.44 deg [   + | +   ] | [WARN] (VEL)           
[⠋] [GCS] @ 18:36:18.644 | ALT:  10,014.94 ft ↓↓ | VEL:   252.0 kts ↓↓ | PIT:   -0.59 deg [   + | +   ] | ROL:   -0.60 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:36:19.144 | ALT:  10,009.01 ft ↓↓ | VEL:   254.0 kts ↑↑ | PIT:   +0.39 deg [   + | +   ] | ROL:   +0.85 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:36:19.645 | ALT:  10,012.20 ft ↑↑ | VEL:   255.8 kts ↑↑ | PIT:   +0.11 deg [   + | +   ] | ROL:   -0.94 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:36:20.146 | ALT:  10,011.82 ft ↓  | VEL:   255.8 kts →  | PIT:   -0.63 deg [   + | +   ] | ROL:   +0.86 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:36:20.646 | ALT:  10,026.58 ft ↑↑ | VEL:   252.9 kts ↓↓ | PIT:   +0.98 deg [   + | +   ] | ROL:   -0.05 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:36:21.147 | ALT:  10,078.26 ft ↑↑ | VEL:   250.1 kts ↓↓ | PIT:   +0.33 deg [   + | +   ] | ROL:   +0.54 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:36:21.648 | ALT:  10,068.25 ft ↓↓ | VEL:   259.5 kts ↑↑ | PIT:   +0.09 deg [   + | +   ] | ROL:   -0.15 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:36:22.149 | ALT:  10,092.70 ft ↑↑ | VEL:   253.1 kts ↓↓ | PIT:   +0.30 deg [   + | +   ] | ROL:   -0.08 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:36:22.650 | ALT:  10,058.11 ft ↓↓ | VEL:   253.3 kts ↑  | PIT:   -0.97 deg [   + | +   ] | ROL:   -1.00 deg [   + | +   ] | [WARN] (VEL)           
[⠏] [GCS] @ 18:36:23.151 | ALT:  10,082.37 ft ↑↑ | VEL:   251.2 kts ↓↓ | PIT:   +0.43 deg [   + | +   ] | ROL:   +0.54 deg [   + | +   ] | [WARN] (VEL)           
[⠋] [GCS] @ 18:36:23.653 | ALT:  10,097.52 ft ↑↑ | VEL:   254.6 kts ↑↑ | PIT:   +0.67 deg [   + | +   ] | ROL:   -0.27 deg [   + | +   ] | [WARN] (VEL)           
[⠙] [GCS] @ 18:36:24.153 | ALT:  10,020.68 ft ↓↓ | VEL:   254.7 kts →  | PIT:   -0.18 deg [   + | +   ] | ROL:   -0.33 deg [   + | +   ] | [WARN] (VEL)           
[⠹] [GCS] @ 18:36:24.654 | ALT:  10,048.48 ft ↑↑ | VEL:   257.7 kts ↑↑ | PIT:   +0.46 deg [   + | +   ] | ROL:   -0.64 deg [   + | +   ] | [WARN] (VEL)           
[⠸] [GCS] @ 18:36:25.155 | ALT:  10,029.11 ft ↓↓ | VEL:   250.8 kts ↓↓ | PIT:   +0.97 deg [   + | +   ] | ROL:   -0.83 deg [   + | +   ] | [WARN] (VEL)           
[⠼] [GCS] @ 18:36:25.656 | ALT:  10,002.24 ft ↓↓ | VEL:   254.6 kts ↑↑ | PIT:   -0.48 deg [   + | +   ] | ROL:   +0.02 deg [   + | +   ] | [WARN] (VEL)           
[⠴] [GCS] @ 18:36:26.157 | ALT:  10,061.81 ft ↑↑ | VEL:   252.6 kts ↓↓ | PIT:   -0.66 deg [   + | +   ] | ROL:   +0.98 deg [   + | +   ] | [WARN] (VEL)           
[⠦] [GCS] @ 18:36:26.657 | ALT:  10,074.35 ft ↑↑ | VEL:   250.4 kts ↓↓ | PIT:   +0.59 deg [   + | +   ] | ROL:   +0.13 deg [   + | +   ] | [WARN] (VEL)           
[⠧] [GCS] @ 18:36:27.158 | ALT:  10,004.59 ft ↓↓ | VEL:   251.4 kts ↑  | PIT:   +0.94 deg [   + | +   ] | ROL:   +0.35 deg [   + | +   ] | [WARN] (VEL)           
[⠇] [GCS] @ 18:36:27.659 | ALT:  10,010.21 ft ↑↑ | VEL:   257.9 kts ↑↑ | PIT:   -0.80 deg [   + | +   ] | ROL:   +0.26 deg [   + | +   ] | [WARN] (VEL)           
